season,season_type,game_date,game_id,event_num,period,clock,team_away,team_home,player1_name,player2_name,description,event_video_link,event_video_link_with_title
2013-14,Regular Season,2013-11-14,0021300124,225,2,01:35,OKC,GSW,203500 Steven Adams,201566 Russell Westbrook,Adams 2' Slam Dunk (2 PTS) (Westbrook 4 AST),https://www.nba.com/stats/events?GameEventID=225&GameID=0021300124&Season=2013-14&flag=1,https://www.nba.com/stats/events?GameEventID=225&GameID=0021300124&Season=2013-14&flag=1&title=Adams%202%27%20Slam%20Dunk%20%282%20PTS%29%20%28Westbrook%204%20AST%29
2013-14,Regular Season,2014-02-28,0021300868,209,2,06:38,MEM,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams 1' Dunk (5 PTS) (Westbrook 3 AST),https://www.nba.com/stats/events?GameEventID=209&GameID=0021300868&Season=2013-14&flag=1,https://www.nba.com/stats/events?GameEventID=209&GameID=0021300868&Season=2013-14&flag=1&title=Adams%201%27%20Dunk%20%285%20PTS%29%20%28Westbrook%203%20AST%29
2013-14,Playoffs,2014-05-03,0041300157,129,1,00:34,MEM,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams  Dunk (2 PTS) (Westbrook 4 AST),https://www.nba.com/stats/events?GameEventID=129&GameID=0041300157&Season=2013-14&flag=1,https://www.nba.com/stats/events?GameEventID=129&GameID=0041300157&Season=2013-14&flag=1&title=Adams%20%20Dunk%20%282%20PTS%29%20%28Westbrook%204%20AST%29
2013-14,Playoffs,2014-05-07,0041300232,145,2,09:50,LAC,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams  Dunk (4 PTS) (Westbrook 4 AST),https://www.nba.com/stats/events?GameEventID=145&GameID=0041300232&Season=2013-14&flag=1,https://www.nba.com/stats/events?GameEventID=145&GameID=0041300232&Season=2013-14&flag=1&title=Adams%20%20Dunk%20%284%20PTS%29%20%28Westbrook%204%20AST%29
2013-14,Playoffs,2014-05-13,0041300235,300,2,00:07,LAC,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams 1' Dunk (7 PTS) (Westbrook 3 AST),https://www.nba.com/stats/events?GameEventID=300&GameID=0041300235&Season=2013-14&flag=1,https://www.nba.com/stats/events?GameEventID=300&GameID=0041300235&Season=2013-14&flag=1&title=Adams%201%27%20Dunk%20%287%20PTS%29%20%28Westbrook%203%20AST%29
2013-14,Playoffs,2014-05-13,0041300235,398,3,02:34,LAC,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams 1' Dunk (9 PTS) (Westbrook 4 AST),https://www.nba.com/stats/events?GameEventID=398&GameID=0041300235&Season=2013-14&flag=1,https://www.nba.com/stats/events?GameEventID=398&GameID=0041300235&Season=2013-14&flag=1&title=Adams%201%27%20Dunk%20%289%20PTS%29%20%28Westbrook%204%20AST%29
2014-15,Regular Season,2014-11-28,0021400229,2,1,11:44,NYK,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams Dunk (2 PTS) (Westbrook 1 AST),https://www.nba.com/stats/events?GameEventID=2&GameID=0021400229&Season=2014-15&flag=1,https://www.nba.com/stats/events?GameEventID=2&GameID=0021400229&Season=2014-15&flag=1&title=Adams%20Dunk%20%282%20PTS%29%20%28Westbrook%201%20AST%29
2014-15,Regular Season,2014-11-28,0021400229,241,2,03:22,NYK,OKC,203500 Steven Adams,201566 Russell Westbrook,Adams Dunk (4 PTS) (Westbrook 7 AST),https://www.nba.com/stats/events?GameEventID=241&GameID=0021400229&Season=2014-15&flag=1,https://www.nba.com/stats/events?GameEventID=241&GameID=0021400229&Season=2014-15&flag=1&title=Adams%20Dunk%20%284%20PTS%29%20%28Westbrook%207%20AST%29
2014-15,Regular Season,2014-12-05,0021400277,4,1,11:17,OKC,PHI,203500 Steven Adams,201566 Russell Westbrook,Adams  Slam Dunk (2 PTS) (Westbrook 2 AST),https://www.nba.com/stats/events?GameEventID=4&GameID=0021400277&Season=2014-15&flag=1,https://www.nba.com/stats/events?GameEventID=4&GameID=0021400277&Season=2014-15&flag=1&title=Adams%20%20Slam%20Dunk%20%282%20PTS%29%20%28Westbrook%202%20AST%29
2014-15,Regular Season,2014-12-05,0021400277,33,1,07:21,OKC,PHI,203500 Steven Adams,201566 Russell Westbrook,Adams  Dunk (4 PTS) (Westbrook 4 AST),https://www.nba.com/stats/events?GameEventID=33&GameID=0021400277&Season=2014-15&flag=1,https://www.nba.com/stats/events?GameEventID=33&GameID=0021400277&Season=2014-15&flag=1&title=Adams%20%20Dunk%20%284%20PTS%29%20%28Westbrook%204%20AST%29
